plate_id,well,row,column,sample_id,well_role,treatment,dose,dose_unit,replicate
plate_01,D02,D,2,reference_treatment_0.3uM_rep02,treatment,reference_treatment,0.3,uM,2
plate_01,D03,D,3,reference_treatment_0.3uM_rep03,treatment,reference_treatment,0.3,uM,3
plate_01,D04,D,4,reference_treatment_0.3uM_rep04,treatment,reference_treatment,0.3,uM,4
plate_01,D05,D,5,reference_treatment_0.3uM_rep05,treatment,reference_treatment,0.3,uM,5
plate_01,D06,D,6,reference_treatment_1uM_rep01,treatment,reference_treatment,1,uM,1
plate_01,D07,D,7,reference_treatment_1uM_rep02,treatment,reference_treatment,1,uM,2
plate_01,D08,D,8,reference_treatment_1uM_rep03,treatment,reference_treatment,1,uM,3
plate_01,D09,D,9,reference_treatment_1uM_rep04,treatment,reference_treatment,1,uM,4
plate_01,D10,D,10,reference_treatment_1uM_rep05,treatment,reference_treatment,1,uM,5
plate_01,D11,D,11,reference_treatment_3uM_rep01,treatment,reference_treatment,3,uM,1
plate_01,D12,D,12,reference_treatment_3uM_rep02,treatment,reference_treatment,3,uM,2
plate_01,E01,E,1,reference_treatment_3uM_rep03,treatment,reference_treatment,3,uM,3
plate_01,E02,E,2,reference_treatment_3uM_rep04,treatment,reference_treatment,3,uM,4
plate_01,E03,E,3,reference_treatment_3uM_rep05,treatment,reference_treatment,3,uM,5
plate_01,E04,E,4,reference_treatment_10uM_rep01,treatment,reference_treatment,10,uM,1
plate_01,E05,E,5,reference_treatment_10uM_rep02,treatment,reference_treatment,10,uM,2
plate_01,E06,E,6,reference_treatment_10uM_rep03,treatment,reference_treatment,10,uM,3
plate_01,E07,E,7,reference_treatment_10uM_rep04,treatment,reference_treatment,10,uM,4
plate_01,E08,E,8,reference_treatment_10uM_rep05,treatment,reference_treatment,10,uM,5
plate_01,E09,E,9,test_treatment_0.003uM_rep01,treatment,test_treatment,0.003,uM,1
plate_01,E10,E,10,test_treatment_0.003uM_rep02,treatment,test_treatment,0.003,uM,2
plate_01,E11,E,11,test_treatment_0.003uM_rep03,treatment,test_treatment,0.003,uM,3
plate_01,E12,E,12,test_treatment_0.003uM_rep04,treatment,test_treatment,0.003,uM,4
plate_01,F01,F,1,test_treatment_0.003uM_rep05,treatment,test_treatment,0.003,uM,5
plate_01,F02,F,2,test_treatment_0.01uM_rep01,treatment,test_treatment,0.01,uM,1
plate_01,F03,F,3,test_treatment_0.01uM_rep02,treatment,test_treatment,0.01,uM,2
plate_01,F04,F,4,test_treatment_0.01uM_rep03,treatment,test_treatment,0.01,uM,3
plate_01,F05,F,5,test_treatment_0.01uM_rep04,treatment,test_treatment,0.01,uM,4
plate_01,F06,F,6,test_treatment_0.01uM_rep05,treatment,test_treatment,0.01,uM,5
plate_01,F07,F,7,test_treatment_0.03uM_rep01,treatment,test_treatment,0.03,uM,1
plate_01,F08,F,8,test_treatment_0.03uM_rep02,treatment,test_treatment,0.03,uM,2
plate_01,F09,F,9,test_treatment_0.03uM_rep03,treatment,test_treatment,0.03,uM,3
plate_01,F10,F,10,test_treatment_0.03uM_rep04,treatment,test_treatment,0.03,uM,4
plate_01,F11,F,11,test_treatment_0.03uM_rep05,treatment,test_treatment,0.03,uM,5
plate_01,F12,F,12,test_treatment_0.1uM_rep01,treatment,test_treatment,0.1,uM,1
plate_01,G01,G,1,test_treatment_0.1uM_rep02,treatment,test_treatment,0.1,uM,2
plate_01,G02,G,2,test_treatment_0.1uM_rep03,treatment,test_treatment,0.1,uM,3
plate_01,G03,G,3,test_treatment_0.1uM_rep04,treatment,test_treatment,0.1,uM,4
plate_01,G04,G,4,test_treatment_0.1uM_rep05,treatment,test_treatment,0.1,uM,5
plate_01,G05,G,5,test_treatment_0.3uM_rep01,treatment,test_treatment,0.3,uM,1
plate_01,G06,G,6,test_treatment_0.3uM_rep02,treatment,test_treatment,0.3,uM,2
plate_01,G07,G,7,test_treatment_0.3uM_rep03,treatment,test_treatment,0.3,uM,3
plate_01,G08,G,8,test_treatment_0.3uM_rep04,treatment,test_treatment,0.3,uM,4
plate_01,G09,G,9,test_treatment_0.3uM_rep05,treatment,test_treatment,0.3,uM,5
plate_01,G10,G,10,test_treatment_1uM_rep01,treatment,test_treatment,1,uM,1
plate_01,G11,G,11,test_treatment_1uM_rep02,treatment,test_treatment,1,uM,2
plate_01,G12,G,12,test_treatment_1uM_rep03,treatment,test_treatment,1,uM,3
plate_01,H01,H,1,test_treatment_1uM_rep04,treatment,test_treatment,1,uM,4
plate_01,H02,H,2,test_treatment_1uM_rep05,treatment,test_treatment,1,uM,5
plate_01,H03,H,3,test_treatment_3uM_rep01,treatment,test_treatment,3,uM,1
plate_01,H04,H,4,test_treatment_3uM_rep02,treatment,test_treatment,3,uM,2
plate_01,H05,H,5,test_treatment_3uM_rep03,treatment,test_treatment,3,uM,3
plate_01,H06,H,6,test_treatment_3uM_rep04,treatment,test_treatment,3,uM,4
plate_01,H07,H,7,test_treatment_3uM_rep05,treatment,test_treatment,3,uM,5
plate_01,H08,H,8,test_treatment_10uM_rep01,treatment,test_treatment,10,uM,1
plate_01,H09,H,9,test_treatment_10uM_rep02,treatment,test_treatment,10,uM,2
plate_01,H10,H,10,test_treatment_10uM_rep03,treatment,test_treatment,10,uM,3
plate_01,H11,H,11,test_treatment_10uM_rep04,treatment,test_treatment,10,uM,4
plate_01,H12,H,12,test_treatment_10uM_rep05,treatment,test_treatment,10,uM,5
